Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,16,0,0,27.78,71.78,2.056384,160,0,0,0,0,127.48
2022,7,16,1,0,27.22,74.15,3.598672,180,0,0,0,0,127.58
2022,7,16,2,0,26.67,76.36,3.598672,180,0,0,0,0,123.86
2022,7,16,3,0,26.11,79.17,2.57048,190,0,0,0,0,116.99
2022,7,16,4,0,25.56,84.36,2.57048,190,0,0,0,0,107.88
2022,7,16,5,0,25,84.58,1.542288,190,0,0,0,0,97.27
2022,7,16,6,0,24.44,87.73,1.542288,150,0,37,99,30,85.52
2022,7,16,7,0,25,87.48,1.542288,100,0,210,445,83,73.42
2022,7,16,8,0,26.11,84.41,2.57048,150,0,417,627,112,60.83
2022,7,16,9,0,28.33,77.12,4.112768,180,0,613,712,137,48.01
2022,7,16,10,0,30,65.27,2.056384,195,0,779,763,154,35.13
2022,7,16,11,0,32.22,51.93,4.112768,210,0,899,794,166,22.53
2022,7,16,12,0,33.89,47.28,3.084576,206.6666667,0,966,820,163,11.72
2022,7,16,13,0,34.44,44.59,2.056384,203.3333333,0,967,818,165,11.32
2022,7,16,14,0,36.11,37.58,4.112768,200,0,906,803,161,21.92
2022,7,16,15,0,36.67,35.22,5.14096,210,0,788,770,153,34.48
2022,7,16,16,0,36.11,35.05,5.14096,190,0,454,125,369,47.37
2022,7,16,17,0,37.22,32.98,4.112768,160,0,425,613,121,60.21
2022,7,16,18,0,36.67,33.9,3.084576,180,0,217,429,91,72.82
2022,7,16,19,0,36.67,32.85,4.626864,180,0,42,91,34,84.97
2022,7,16,20,0,36.11,33.97,2.57048,180,0,0,0,0,96.76
2022,7,16,21,0,33.89,39.65,3.084576,160,0,0,0,0,107.44
2022,7,16,22,0,32.78,48.8,4.626864,180,0,0,0,0,116.68
2022,7,16,23,0,31.67,53.42,5.655056,190,0,0,0,0,123.71
